Descriptions,Ids
This website contains information on all classes 4 raids and thier respective lore feel free to browse for free,indexDescription
the game destiny contains 3 main classes Hunter warlock and titan,ClassPagesODesc
the lore pages are not lore in their truest sense as that would require copy and pasting of pages and pages of lore files and texts. so they have been greatly summarised and concentrated,LorePagesODesc
the following raids guides are step by step notes taken to help simplify the raiding process,RaidPagesODesc
